source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
in_memory,<= -3,93062,40519,43188,9355,-2669.0,0.43539790677182955,0.4640777116331048,0.10052438159506566,-0.02867980486127528,75249,66049,0.5325553086384803,0.4674446913615196,baseline-1,baseline,1,1234,baseline-1 | in_memory
in_memory,>= 3,89029,37696,43651,7682,-5955.0,0.4234125958957194,0.4903009131855912,0.08628649091868941,-0.06688831728987184,73418,72211,0.5041440921794422,0.4958559078205577,baseline-123,baseline,123,4321,baseline-123 | in_memory
in_memory,<= -3,91612,39842,42755,9015,-2913.0,0.4348993581626861,0.46669650264157536,0.09840413919573855,-0.031797144478889226,74508,64231,0.5370371705144191,0.4629628294855808,baseline-123,baseline,123,9876,baseline-123 | in_memory
in_memory,-2 to 0,635220,272450,302843,59927,-30393.0,0.4289065205755486,0.4767529359906804,0.09434054343377098,-0.047846415415131766,513893,465171,0.5248819280455619,0.4751180719544381,baseline-123,baseline,123,9876,baseline-123 | in_memory
in_memory,1 to 2,184080,78119,89829,16132,-11710.0,0.42437527162103433,0.4879889178617992,0.08763581051716644,-0.06361364624076489,151710,149059,0.5044070366294399,0.49559296337056014,baseline-123,baseline,123,9876,baseline-123 | in_memory
in_memory,>= 3,89088,37729,43683,7676,-5954.0,0.4235026041666667,0.4903353987068966,0.08616199712643678,-0.06683279454022989,73463,72239,0.5042003541475065,0.4957996458524934,baseline-123,baseline,123,9876,baseline-123 | in_memory
in_memory,<= -3,94097,40834,43647,9616,-2813.0,0.43395644919604237,0.4638511323421576,0.10219241846180006,-0.02989468314611518,74190,69764,0.5153729663642552,0.4846270336357448,counting-123,counting,123,1234,counting-123 | in_memory
in_memory,-2 to 0,635505,272120,302735,60650,-30615.0,0.4281949001188032,0.476369186709782,0.09543591317141487,-0.048174286590978825,513112,468351,0.5228032029735201,0.4771967970264799,counting-123,counting,123,1234,counting-123 | in_memory
in_memory,1 to 2,182840,77605,89273,15962,-11668.0,0.42444213520017504,0.48825749288995846,0.08730037190986654,-0.06381535768978341,153642,141654,0.5202982769830949,0.47970172301690506,counting-123,counting,123,1234,counting-123 | in_memory
in_memory,>= 3,87558,37363,42960,7235,-5597.0,0.42672285799127435,0.49064620023298844,0.08263094177573722,-0.06392334224171406,76396,60951,0.5562262007906981,0.443773799209302,counting-123,counting,123,1234,counting-123 | in_memory
in_memory,<= -3,94035,40796,43637,9602,-2841.0,0.4338384644015526,0.4640506194502047,0.10211091614824268,-0.030212155048652097,74114,69745,0.5151850075421072,0.4848149924578928,counting-123,counting,123,4321,counting-123 | in_memory
